"Kód štátu";"Kód oblasti";"Názov štátu";"Názov oblasti";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;61
SK0;SK02;Slovenská republika;Západné Slovensko;muž;predproduktívny vek (0-14 rokov);nezistené;1305
SK0;SK02;Slovenská republika;Západné Slovensko;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;36663
SK0;SK02;Slovenská republika;Západné Slovensko;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;20
SK0;SK02;Slovenská republika;Západné Slovensko;muž;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;94671
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);nezistené;37284
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);785
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;12611
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;57599
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);1843
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);11628
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;148841
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;19894
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);266
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;59537
SK0;SK02;Slovenská republika;Západné Slovensko;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;99183
