"Kód okresu";"Názov okresu";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);dôverné;39
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);nezistené;2285
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);29
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;362
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;2618
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);35
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);395
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;2204
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;504
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);28
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;1320
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;6068
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;3197
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);1
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);1394
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);462
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);464
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);6
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);1940
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";17300
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";1221
SK0102;Okres Bratislava II;žena;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;66
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);dôverné;9
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);nezistené;777
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);28
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;189
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;1695
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);436
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;1650
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;605
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);42
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;470
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;3014
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;1555
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);597
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);299
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);248
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);2
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);117
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";2916
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";509
SK0102;Okres Bratislava II;žena;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;6
SK0103;Okres Bratislava III;muž;predproduktívny vek (0-14 rokov);nezistené;85
SK0103;Okres Bratislava III;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;1512
SK0103;Okres Bratislava III;muž;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;4
SK0103;Okres Bratislava III;muž;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;4953
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);dôverné;34
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);nezistené;2493
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);základné vzdelanie (bližšie neuvedené);22
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);základné vzdelanie - 1. stupeň základnej školy;211
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);základné vzdelanie - 2. stupeň základnej školy;1537
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);61
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);308
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;1909
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;376
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);19
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;1316
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;2927
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;1708
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);851
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);104
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);209
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);9
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);1106
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";8619
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";861
SK0103;Okres Bratislava III;muž;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;46
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);dôverné;14
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);nezistené;353
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);4
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;26
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;146
SK0103;Okres Bratislava III;muž;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity (bližšie neuvedené);1
